"ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORG_PADR_ID","ORG_PADR_SIGLA","ORG_PADR_NOME","ORGAO_UNIFICADO_ID_ORIGEM","ORGAO_UNIFICADO_SIGLA","ORGAO_UNIFICADO_NOME","ORGAO_UNIFICADO_FONTE"
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,63000,AGU,ADVOCACIA-GERAL DA UNIAO,SIAFI
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,20114,AGU,ADVOCACIA-GERAL DA UNIAO,SIAFI
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,40116,AGU,ADVOCACIA-GERAL DA UNIAO,SIAPE
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,40106,AGU,ADVOCACIA-GERAL DA UNIAO,SIAPE
7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,ADVOCACIA-GERAL DA UNIÃO,7,AGU,Advocacia-Geral da União,SIORG
8,BCB,BANCO CENTRAL DO BRASIL,213,COAF,Conselho de Controle de Atividades Financeiras,25202,COAF,CONSELHO DE CONTROLE DE ATIVIDADES FINANCEIRAS,SIAPE
8,BCB,BANCO CENTRAL DO BRASIL,213,COAF,Conselho de Controle de Atividades Financeiras,213,COAF,Conselho de Controle de Atividades Financeiras,SIORG
8,BCB,BANCO CENTRAL DO BRASIL,8,BCB,BANCO CENTRAL DO BRASIL,8,BCB,Banco Central do Brasil,SIORG
180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,CONTROLADORIA-GERAL DA UNIÃO,37000,CGU,CONTROLADORIA-GERAL DA UNIAO,SIAFI
180,CGU,CONTROLADORIA-GERAL DA UNIÃO,180,CGU,CONTROLADORIA-GERAL DA UNIÃO,59000,CGU,CGU,SIAPE
